"","sig_id","name","description"
"102","14","Maryland State Education Association - NEA","Over the course of its 143-year history, the Maryland State Teachers Association (MSTA) became known as the state's leading voice for public education. Whether we're lobbying for school funding in Annapolis, fighting for civil rights, or making sure every student receives the attention they need and every educator the respect they deserve, our association has been the most successful and powerful force for progress in Maryland. Now, as the Maryland State Education Association (MSEA), we<U+0092>ve taken our mission to the next level. Our new name recognizes the critical role that all educators and school employees play in providing great public schools for every child. The simple, symbolic open book above the <U+0093>e<U+0094> in our bright logo and its seven pages reflect the contributions that each of seven membership groups<U+0097>teachers, ESPs, administrators, certificated specialists, higher education faculty, student educators, and retired members<U+0097>make towards creating a high-quality public education system from pre-K through college."
"103","68","Ohio Chamber of Commerce","As the state's leading business advocate and resource, the Ohio Chamber of Commerce aggressively champions free enterprise, economic competitiveness and growth for the benefit of all Ohioans."
"104","454","Wisconsin AFL-CIO","The mission of the Wisconsin State AFL-CIO is to improve the lives of working families--to bring economic justice to the workplace and social justice to our state and the nation. To accomplish this mission, we work to: * Support Wisconsin workers as they bargain with employers to improve their living conditions and workplaces, as well as their communities, state and nation. * Strengthen the voice of Wisconsin working families at all levels of government and in a changing global economy."
"105","936","EPL-Environmental Advocates","EPL-Environmental Advocates was formed in 1969 as one of the first organizations in the nation to advocate for the future of a state<U+0092>s environment and the health of its citizens. Through lobbying, advocacy, coalition building, citizen education and policy development, EPL-Environmental Advocates has been New York<U+0092>s environmental conscience -- assuring that environmental laws are being enforced; that tough new measures are enacted when necessary; and that the public is informed of, and participates in, important environmental policy debates."
"106","1545","New Yorkers Against Gun Violence","The mission of New Yorkers Against Gun Violence and its Education Fund is to reduce gun violence through advocacy and education designed to encourage action, influence public opinion and lead to policy change."
"107","865","New York Civil Liberties Union","Our Mission: To defend and promote the fundamental principles and values embodied in the Bill of Rights, the U.S. Constitution, and the New York Constitution, including freedom of speech and religion, and the right to privacy, equality and due process of law for all New Yorkers."
"108","1369","National Federation of Independent Business - New York","New York NFIB is a state chapter of the National Federation of Independent Business, which is the nation's largest advocacy organization representing small and independent businesses...NFIB is a melting pot of commercial enterprise; high-tech manufacturers and family farmers, neighborhood retailers and service companies."
"109","496","Illinois NARAL","Aims to protect a woman's right to the full range of reproductive choices. For more than 30 years, NARAL Pro-Choice America has been the nation's leading advocate for privacy and a woman's right to choose. With more than one million members and supporters, NARAL Pro-Choice America is fighting to protect the pro-choice values of freedom and privacy. With the far right in control of the White House and many state legislatures, our work has never been more important."
"110","225","Illinois Churches in Action on Alcohol and Addiction Problems (ILCAAAP)","Illinois Church Action on Alcohol and Addiction Problems (ILCAAAP)/Illinois Churches in Action (ICIA) is a statewide-non-profit organization dedicated to preventing problems caused by alcohol, other drugs, and gambling."
"111","844","Illinois Chamber of Commerce","<U+0093>Our mission is to lead and serve our members as well as the entire Illinois business community. We will progress our reputation as a credible, highly regarded and effective business advocate, which will enable the Chamber to serve as the unifying voice of the Illinois business community. Our ability to provide innovative support and services to Illinois businesses will strengthen their success and profitability thus promoting prosperity and opportunity for the citizens of Illinois<U+0094>"
"112","931","Connecticut AFL-CIO","The Connecticut AFL-CIO (American Federation of Labor and Congress of Industrial Organizations) with more than 600 affiliated local unions, represents approximately 211,000 workers in diverse communities and sectors of the state's economy."
"113","1019","California Chamber of Commerce","To serve as an advocate and resource for California employers and to engage in other activities, domestically and internationally, that enhance the California economy and make the state a better place to live, work and do business."
"114","636","Children's Advocacy Institute","In 1989, Robert C. Fellmeth founded the Children's Advocacy Institute (CAI) as part of the Center for Public Interest Law at the University of San Diego School of Law. Staffed by experienced attorneys and advocates, advised by the CAI Council for Children, and assisted by USD law student interns, CAI works to improve the status and well-being of children in our society by representing their interests and right to a safe, healthy childhood. In addition to its academic program, which trains law students to be effective child advocates, CAI represents children in the state legislature, in the courts, before administrative agencies, and through public education programs."
"115","220","California Farm Bureau Federation","<U+0093>The California Farm Bureau Federation is a non-governmental, non-profit, voluntary membership California corporation whose purpose is to protect and promote agricultural interests throughout the state of California and to find solutions to the problems of the farm, the farm home and the rural community. Farm Bureau is California's largest farm organization, comprised of 53 county Farm Bureaus currently representing more than 74,000 agricultural, associate and collegiate members in 56 counties. Farm Bureau strives to protect and improve the ability of farmers and ranchers engaged in production agriculture to provide a reliable supply of food and fiber through responsible stewardship of California's resources.<U+0094>"
"116","495","California League of Conservation Voters","CLCV's mission is to protect the environmental quality of the state by increasing public awareness of the environmental performance of all elected officials, working to elect environmentally responsible candidates, and holding them accountable to the environmental agenda once elected."
"117","1594","California Labor Federation","The California Labor Federation is made up of more than 1,200 AFL-CIO and Change to Win unions, representing 2.1 million union members in manufacturing, retail, construction, hospitality, public sector, health care, entertainment and other industries. The California Labor Federation is dedicated to promoting and defending the interests of working people and their families for the betterment of California<U+0092>s communities. From legislative campaigns to grassroots organizing, our affiliates are actively engaged in every aspect of California<U+0092>s economy and government.<U+0094>"
"118","250","California National Organization for Women","The California National Organization for Women (CA NOW) is the largest state organization of feminists, both women and men, in the United States.The California National Organization for Women (CA NOW) is the largest state organization of feminists, both women and men, in the United States. It is made up of 40 chapters throughout the state, representing over 100,000 members and supporters. CA NOW is committed to positive change at every level! We believe that if every woman can be assured these basic requirements she will have a fair chance at a life of quality and equality. The agenda of the California National Organization for Women also includes the vision of true social, political and economic equality for all women. To realize this, we must share leadership with men in the major institutions that define the face of our society: Media, Business, Politics and Education."
"119","84","National Federation of Independent Business - California","California NFIB is a state chapter of the National Federation of Independent Business, which is the nation's largest advocacy organization representing small and independent businesses...NFIB is a melting pot of commercial enterprise; high-tech manufacturers and family farmers, neighborhood retailers and service companies.A nonprofit, nonpartisan organization founded in 1943, NFIB represents the consensus views of its members in Washington and all 50 state capitals. NFIB's mission is to promote and protect the right of our members to own, operate and grow their businesses."
